Discord,Team,Individual,Individual?,% Calculator,Rank
,TMU Gold,52.30%,FALSE,52.28%,Advanced
,NJIT Highlanders Red,52.13%,FALSE,40.27%,Intermediate
,Irvine Valley,52.03%,FALSE,49.33%,Advanced
,USF Gold,51.68%,FALSE,47.86%,Advanced
,uOttawa Garnet,51.55%,FALSE,#N/A,#N/A
,CSUF Orange,51.31%,FALSE,40.65%,Intermediate
,Ottawa Braves,51.11%,FALSE,51.09%,Advanced
,West Virginia University,50.93%,FALSE,45.95%,Advanced
,Georgia Tech,50.91%,FALSE,50.89%,Advanced
,Indiana Hoosiers,50.70%,FALSE,50.68%,Advanced
,OKWU Gold,50.66%,FALSE,47.37%,Advanced
,UCF Knights,50.61%,FALSE,41.64%,Intermediate
,NCSU Black,50.60%,FALSE,50.58%,Advanced
,Rowan University,50.55%,FALSE,#N/A,#N/A
,OKWU Gold,50.55%,FALSE,47.37%,Advanced
,uOttawa Garnet,50.35%,FALSE,#N/A,#N/A
,Humber College Esports,50.24%,FALSE,45.72%,Advanced
,UT Orange,50.20%,FALSE,50.18%,Advanced
,University of Virginia Navy,50.19%,FALSE,44.13%,Intermediate
,Northwood University,50.12%,FALSE,#N/A,#N/A
,UT Dallas,50.01%,FALSE,#N/A,#N/A
,FIU Varsity,49.92%,FALSE,#N/A,#N/A
,Blinn Esports,49.82%,FALSE,#N/A,#N/A
,UBC,49.79%,FALSE,#N/A,#N/A
,Indiana Hoosiers,49.77%,FALSE,50.68%,Advanced
,Northeastern University Black,49.64%,FALSE,46.44%,Advanced
,OTSU Esports Royal,49.53%,FALSE,46.86%,Advanced
,UCSC Gold,49.52%,FALSE,47.96%,Advanced
,Niner Esports,49.41%,FALSE,51.09%,Advanced
,Blinn Esports,49.39%,FALSE,#N/A,#N/A
,USC Cardinal,49.31%,FALSE,41.23%,Intermediate
,Laurier Golden Hawks,49.30%,FALSE,#N/A,#N/A
,FIU Varsity,49.11%,FALSE,#N/A,#N/A
,Northwood University,49.09%,FALSE,#N/A,#N/A
,RPI White,49.07%,FALSE,43.45%,Intermediate
,Converse Varsity,48.77%,FALSE,#N/A,#N/A
,UCSC Gold,48.68%,FALSE,47.96%,Advanced
,UCO Blue,48.63%,FALSE,48.27%,Advanced
,GCU Esports,48.43%,FALSE,45.01%,Advanced
,Wichita State Esports,48.37%,FALSE,50.17%,Advanced
,SNHU Blue,48.19%,FALSE,38.70%,Contender
,UT Orange,48.13%,FALSE,#N/A,#N/A
,Indiana Hoosiers,48.03%,FALSE,#N/A,#N/A
,North Central University,47.91%,FALSE,42.86%,Intermediate
,Scarlet Knights Red,47.87%,FALSE,46.76%,Advanced
,UT Dallas,47.83%,FALSE,#N/A,#N/A
,TAMU 12th,47.80%,FALSE,#N/A,#N/A
,Rochester University Esports,47.79%,FALSE,43.90%,Intermediate
,,47.76%,TRUE,47.76%,Advanced
,TMU Gold,47.63%,FALSE,#N/A,#N/A
,USC Cardinal,47.55%,FALSE,41.23%,Intermediate
,Scarlet Knights Red,47.54%,FALSE,46.76%,Advanced
,BSC Bobcats VA,47.52%,FALSE,#N/A,#N/A
,Converse Varsity,47.35%,FALSE,#N/A,#N/A
,CSUF Blue,47.32%,FALSE,38.96%,Contender
,TTU Red,47.27%,FALSE,42.70%,Intermediate
,CCNY Varsity,47.24%,FALSE,38.44%,Contender
,RPI White,47.17%,FALSE,43.45%,Intermediate
,FIU Blue,47.11%,FALSE,37.85%,Contender
,Davenport University,47.07%,FALSE,46.56%,Advanced
,uOttawa Garnet,47.00%,FALSE,#N/A,#N/A
,CPP Black,46.99%,FALSE,#N/A,#N/A
,William and Mary,46.96%,FALSE,41.34%,Intermediate
,Montclair State Red,46.92%,FALSE,46.62%,Advanced
,Esports at UCD Gold,46.70%,FALSE,46.68%,Advanced
,TMU SHORTYKINGS,46.70%,FALSE,46.68%,Advanced
,UNL Huskers,46.59%,FALSE,42.20%,Intermediate
,RIT Black,46.52%,FALSE,#N/A,#N/A
,UBC,46.52%,FALSE,#N/A,#N/A
,UCF Knights Rising,46.18%,FALSE,46.17%,Advanced
,,46.11%,TRUE,46.11%,Advanced
,UO Green,46.08%,FALSE,40.76%,Intermediate
,Scarlet Knights Black,46.08%,FALSE,46.06%,Advanced
,WSU Warriors,46.06%,FALSE,32.75%,Contender
,Full Sail Armada,46.02%,FALSE,41.13%,Intermediate
,CGC UIC,45.96%,FALSE,45.95%,Advanced
,FIU White,45.95%,FALSE,43.39%,Intermediate
,RIT Orange,45.91%,FALSE,45.90%,Advanced
,Converse Varsity,45.88%,FALSE,#N/A,#N/A
,Cal Poly SLO,45.79%,FALSE,39.87%,Contender
,UCLA,45.64%,FALSE,45.40%,Advanced
,Akron Esports,45.63%,FALSE,42.83%,Intermediate
,Northwood University,45.44%,FALSE,#N/A,#N/A
,UNLV Scarlet,45.42%,FALSE,45.40%,Advanced
,UCR Gold,45.40%,FALSE,42.70%,Intermediate
,Concord University,45.38%,FALSE,45.36%,Advanced
,UBC,45.37%,FALSE,#N/A,#N/A
,UML Riverhawks,45.25%,FALSE,#N/A,#N/A
,UCF Knights,45.20%,FALSE,41.64%,Intermediate
,grass eaters,45.18%,FALSE,45.17%,Advanced
,DSU Valorant,45.18%,FALSE,#N/A,#N/A
,University of Virginia Orange,45.07%,FALSE,43.15%,Intermediate
,Montclair State Red,45.05%,FALSE,#N/A,#N/A
,ODU Monarchs,45.01%,FALSE,42.84%,Intermediate
,CSUF Orange,44.98%,FALSE,40.65%,Intermediate
,University of Virginia Navy,44.93%,FALSE,44.13%,Intermediate
,UWaterloo Gold,44.85%,FALSE,44.83%,Intermediate
,Alvernia University Gold,44.85%,FALSE,44.83%,Intermediate
,UNH Chargers,44.83%,FALSE,#N/A,#N/A
,UH Premiere,44.81%,FALSE,#N/A,#N/A
,UWF Blue,44.81%,FALSE,#N/A,#N/A
,Alvernia University Gold,44.77%,FALSE,44.83%,Intermediate
,McMaster Marauders,44.70%,FALSE,44.68%,Intermediate
,Laurier Golden Hawks,44.66%,FALSE,#N/A,#N/A
,Indiana Hoosiers,44.53%,FALSE,#N/A,#N/A
,Culver-Stockton Wildcats,44.47%,FALSE,40.80%,Intermediate
,CPP White,44.36%,FALSE,40.07%,Intermediate
,CPP Black,44.33%,FALSE,#N/A,#N/A
,UCSC Gold,44.26%,FALSE,#N/A,#N/A
,CCNY Varsity,44.18%,FALSE,38.44%,Contender
,USC Cardinal,44.12%,FALSE,41.23%,Intermediate
,OTSU Esports Royal,44.02%,FALSE,#N/A,#N/A
,SFU Black,43.88%,FALSE,#N/A,#N/A
,Esports at UCD Gold,43.86%,FALSE,#N/A,#N/A
,TMU SHORTYKINGS,43.86%,FALSE,#N/A,#N/A
,Conestoga Condors,43.86%,FALSE,#N/A,#N/A
,UCLA,43.68%,FALSE,#N/A,#N/A
,LSU Val,43.43%,FALSE,42.92%,Intermediate
,Abstract Empire,43.39%,FALSE,#N/A,#N/A
,TAMU White,43.35%,FALSE,#N/A,#N/A
,Purdue Gold,43.30%,FALSE,#N/A,#N/A
,SJSU BLUE,43.26%,FALSE,#N/A,#N/A
,Stony Brook Red,43.10%,FALSE,41.08%,Intermediate
,UNL Huskers,42.92%,FALSE,42.20%,Intermediate
,NJIT Highlanders Red,42.91%,FALSE,40.27%,Intermediate
,UNLV Scarlet,42.88%,FALSE,#N/A,#N/A
,McMaster Marauders,42.77%,FALSE,#N/A,#N/A
,St. Clair Saints Varsity,42.75%,FALSE,#N/A,#N/A
,UH Alpha,42.75%,FALSE,40.92%,Intermediate
,St. Clair Saints Varsity,42.73%,FALSE,#N/A,#N/A
,Duke Gaming,42.67%,FALSE,37.13%,Contender
,CU St. Paul Golden Bears Blue,42.54%,FALSE,32.79%,Contender
,Tulsa Golden Hurricanes,42.50%,FALSE,36.67%,Contender
,TMU SHORTYKINGS,42.36%,FALSE,#N/A,#N/A
,TMU Gold,42.22%,FALSE,#N/A,#N/A
,CSUF Blue,42.14%,FALSE,38.96%,Contender
,GVSU Blue,42.09%,FALSE,#N/A,#N/A
,GVSU Blue,41.96%,FALSE,#N/A,#N/A
,UA Crimson,41.91%,FALSE,#N/A,#N/A
,USF Gold,41.87%,FALSE,#N/A,#N/A
,UH Premiere,41.86%,FALSE,#N/A,#N/A
,Wichita State Esports,41.86%,FALSE,#N/A,#N/A
,U of U Varsity,41.83%,FALSE,35.27%,Contender
,University At Albany,41.81%,FALSE,#N/A,#N/A
,UTD Orange,41.81%,FALSE,#N/A,#N/A
,NYU Ultraviolets,41.77%,FALSE,#N/A,#N/A
,UCF Knights Rising,41.72%,FALSE,#N/A,#N/A
,WSU Crimson,41.70%,FALSE,38.34%,Contender
,CGC UIC,41.70%,FALSE,#N/A,#N/A
,OTSU Esports Royal,41.66%,FALSE,#N/A,#N/A
,SFU Red,41.62%,FALSE,#N/A,#N/A
,University At Albany,41.55%,FALSE,#N/A,#N/A
,SLU Esports,41.40%,FALSE,34.90%,Contender
,Sac State Green,41.31%,FALSE,#N/A,#N/A
,UNCG 300,41.19%,FALSE,38.99%,Contender
,Illini Esports Orange,41.18%,FALSE,#N/A,#N/A
,Conestoga Condors,41.11%,FALSE,#N/A,#N/A
,TMU Gold,41.03%,FALSE,#N/A,#N/A
,ISU Sycamores,41.01%,FALSE,32.17%,Contender
,St Edwards University,41.00%,FALSE,#N/A,#N/A
,UCF Knights,40.99%,FALSE,#N/A,#N/A
,Western Esports,40.95%,FALSE,#N/A,#N/A
,Northeastern University Black,40.93%,FALSE,#N/A,#N/A
,Scarlet Knights Black,40.91%,FALSE,#N/A,#N/A
,uOttawa Garnet,40.74%,FALSE,#N/A,#N/A
,FIU White,40.66%,FALSE,#N/A,#N/A
,NYU Ultraviolets,40.54%,FALSE,#N/A,#N/A
,University of Virginia Orange,40.54%,FALSE,#N/A,#N/A
,Irvine Valley,40.52%,FALSE,#N/A,#N/A
,UCR Blue,40.52%,FALSE,#N/A,#N/A
,TAMU White,40.50%,FALSE,#N/A,#N/A
,CGC UIC,40.49%,FALSE,#N/A,#N/A
,SFU Black,40.42%,FALSE,#N/A,#N/A
,CPP Black,40.40%,FALSE,#N/A,#N/A
,Carleton Ravens,40.39%,FALSE,#N/A,#N/A
,FL Poly Purple,40.32%,FALSE,#N/A,#N/A
,FIU Varsity,40.23%,FALSE,#N/A,#N/A
,SNHU Blue,40.19%,FALSE,#N/A,#N/A
,Georgia Tech,40.16%,FALSE,#N/A,#N/A
,Irvine Valley,40.14%,FALSE,#N/A,#N/A
,CGC UIC,40.13%,FALSE,#N/A,#N/A
,TAMU White,39.94%,FALSE,#N/A,#N/A
,GMU Patriots,39.91%,FALSE,#N/A,#N/A
,UTD Orange,39.75%,FALSE,#N/A,#N/A
,Purdue Gold,39.73%,FALSE,#N/A,#N/A
,Ottawa Braves,39.55%,FALSE,#N/A,#N/A
,UCF Knights Academy,39.55%,FALSE,#N/A,#N/A
,UCO Blue,39.49%,FALSE,#N/A,#N/A
,GMU Patriots,39.33%,FALSE,#N/A,#N/A
,CSULB Gold,39.31%,FALSE,#N/A,#N/A
,CSUN Red,39.28%,FALSE,#N/A,#N/A
,UST Esports,39.21%,FALSE,#N/A,#N/A
,Full Sail Armada,39.14%,FALSE,#N/A,#N/A
,Western Esports,39.11%,FALSE,#N/A,#N/A
,Davenport University,39.07%,FALSE,#N/A,#N/A
,UNCG 300,39.05%,FALSE,#N/A,#N/A
,UT Dallas,38.97%,FALSE,#N/A,#N/A
,UMBC Black,38.79%,FALSE,#N/A,#N/A
,Laurier Golden Hawks,38.78%,FALSE,#N/A,#N/A
,UCM Main,38.73%,FALSE,#N/A,#N/A
,Illini Esports Orange,38.68%,FALSE,#N/A,#N/A
,SNHU Blue,38.66%,FALSE,#N/A,#N/A
,TAMU White,38.64%,FALSE,#N/A,#N/A
,OTSU Esports Royal,38.63%,FALSE,#N/A,#N/A
,St. Clair Saints Varsity,38.63%,FALSE,#N/A,#N/A
,SJSU BLUE,38.61%,FALSE,#N/A,#N/A
,Iowa State University,38.61%,FALSE,#N/A,#N/A
,SHSU Varsity,38.56%,FALSE,#N/A,#N/A
,UNO Black,38.52%,FALSE,32.41%,Contender
,TAMU White,38.42%,FALSE,#N/A,#N/A
,Esports at UCD Gold,38.38%,FALSE,#N/A,#N/A
,Akron Esports,38.35%,FALSE,#N/A,#N/A
,UCF Knights Academy,38.28%,FALSE,#N/A,#N/A
,UT Dallas,38.23%,FALSE,#N/A,#N/A
,West Virginia University,38.22%,FALSE,#N/A,#N/A
,UA Crimson,38.19%,FALSE,#N/A,#N/A
,UC Irvine,38.18%,FALSE,#N/A,#N/A
,Scarlet Knights Black,38.10%,FALSE,#N/A,#N/A
,Boise State,38.07%,FALSE,#N/A,#N/A
,Tulsa Golden Hurricanes,38.05%,FALSE,#N/A,#N/A
,Georgia Tech,37.94%,FALSE,#N/A,#N/A
,Niner Esports,37.78%,FALSE,#N/A,#N/A
,UNLV Scarlet,37.76%,FALSE,#N/A,#N/A
,U of U Varsity,37.68%,FALSE,#N/A,#N/A
,NC State Red,37.64%,FALSE,#N/A,#N/A
,Ottawa Braves,37.63%,FALSE,#N/A,#N/A
,ASU Maroon,37.59%,FALSE,#N/A,#N/A
,Esports at UCD Gold,37.54%,FALSE,#N/A,#N/A
,UCR Gold,37.51%,FALSE,#N/A,#N/A
,,37.45%,TRUE,37.45%,Contender
,CSULB Gold,37.39%,FALSE,#N/A,#N/A
,SFU Black,37.39%,FALSE,#N/A,#N/A
,Oklahoma,37.36%,FALSE,#N/A,#N/A
,Scarlet Knights Black,37.35%,FALSE,#N/A,#N/A
,UMBC Black,37.34%,FALSE,#N/A,#N/A
,TTU Red,37.31%,FALSE,#N/A,#N/A
,TMU Gold,37.30%,FALSE,#N/A,#N/A
,NYU Ultraviolets,37.21%,FALSE,#N/A,#N/A
,TTU Red,37.03%,FALSE,#N/A,#N/A
,TAMU Maroon,37.03%,FALSE,#N/A,#N/A
,Culver-Stockton Wildcats,37.00%,FALSE,#N/A,#N/A
,Fisher College Tea Party,36.94%,FALSE,#N/A,#N/A
,UMD Premier,36.86%,FALSE,#N/A,#N/A
,Illini Esports Orange,36.83%,FALSE,#N/A,#N/A
,UCF Knights Academy,36.82%,FALSE,#N/A,#N/A
,SHSU Varsity,36.79%,FALSE,#N/A,#N/A
,LSU Val,36.76%,FALSE,#N/A,#N/A
,UCR Blue,36.74%,FALSE,#N/A,#N/A
,LVC Dutchman,36.63%,FALSE,#N/A,#N/A
,North Central University,36.61%,FALSE,#N/A,#N/A
,UWaterloo Gold,36.58%,FALSE,#N/A,#N/A
,Abstract Empire,36.53%,FALSE,#N/A,#N/A
,UGA Black,36.51%,FALSE,#N/A,#N/A
,UTD White,36.42%,FALSE,#N/A,#N/A
,UCM Main,36.41%,FALSE,#N/A,#N/A
,Iowa State University,36.40%,FALSE,#N/A,#N/A
,LVC Dutchman,36.35%,FALSE,#N/A,#N/A
,University at Buffalo,36.28%,FALSE,#N/A,#N/A
,Winthrop University,36.26%,FALSE,#N/A,#N/A
,WSU Warriors,36.17%,FALSE,#N/A,#N/A
,DePaul Blue Demons,36.16%,FALSE,#N/A,#N/A
,Alvernia University Gold,36.11%,FALSE,#N/A,#N/A
,UTD White,36.10%,FALSE,#N/A,#N/A
,UCF Knights,36.09%,FALSE,#N/A,#N/A
,UCF Knights Rising,36.08%,FALSE,#N/A,#N/A
,Purdue Gold,35.87%,FALSE,#N/A,#N/A
,Western Esports,35.85%,FALSE,#N/A,#N/A
,CU St. Paul Golden Bears Blue,35.84%,FALSE,#N/A,#N/A
,Illini Esports Orange,35.71%,FALSE,#N/A,#N/A
,CSULB White,35.70%,FALSE,#N/A,#N/A
,Montclair State Red,35.58%,FALSE,#N/A,#N/A
ashie#2268,UTD Black,35.55%,FALSE,#N/A,#N/A
,GVSU Blue,35.43%,FALSE,#N/A,#N/A
,ASU Maroon,35.40%,FALSE,#N/A,#N/A
,OKWU Gold,35.39%,FALSE,#N/A,#N/A
,Scarlet Knights Red,35.13%,FALSE,#N/A,#N/A
,UTA Esports,35.10%,FALSE,#N/A,#N/A
,Scarlet Knights Black,35.07%,FALSE,#N/A,#N/A
,UMD Premier,35.07%,FALSE,#N/A,#N/A
,FGCU Blue,35.06%,FALSE,#N/A,#N/A
,TAMU Century,34.93%,FALSE,#N/A,#N/A
,Humber College Esports,34.90%,FALSE,#N/A,#N/A
,William and Mary,34.86%,FALSE,#N/A,#N/A
,CSUF Blue,34.82%,FALSE,#N/A,#N/A
,Humber College Esports,34.82%,FALSE,#N/A,#N/A
,UH Alpha,34.81%,FALSE,#N/A,#N/A
,UST Esports,34.77%,FALSE,#N/A,#N/A
,Full Sail Armada,34.76%,FALSE,#N/A,#N/A
,Scarlet,34.73%,FALSE,#N/A,#N/A
,Carleton University JV Black,34.71%,FALSE,#N/A,#N/A
,Montclair State Red,34.70%,FALSE,#N/A,#N/A
,Boise State,34.64%,FALSE,#N/A,#N/A
,William and Mary,34.63%,FALSE,#N/A,#N/A
,GVSU Blue,34.62%,FALSE,#N/A,#N/A
,UML Riverhawks,34.57%,FALSE,#N/A,#N/A
,USC Cardinal,34.57%,FALSE,#N/A,#N/A
,UH Alpha,34.49%,FALSE,#N/A,#N/A
,LVC Dutchman,34.38%,FALSE,#N/A,#N/A
,LSU Val,34.32%,FALSE,#N/A,#N/A
,CSUF Orange,34.07%,FALSE,#N/A,#N/A
,FIU White,34.06%,FALSE,#N/A,#N/A
,NCSU Black,34.06%,FALSE,#N/A,#N/A
,University at Buffalo,33.97%,FALSE,#N/A,#N/A
,UTD Orange,33.94%,FALSE,#N/A,#N/A
,TAMU 12th,33.91%,FALSE,#N/A,#N/A
,TMU SHORTYKINGS,33.91%,FALSE,#N/A,#N/A
,Esports at UCD Gold,33.90%,FALSE,#N/A,#N/A
,BSC Bobcats VA,33.90%,FALSE,#N/A,#N/A
,Rochester University Esports,33.84%,FALSE,#N/A,#N/A
,Redbird Varsity,33.80%,FALSE,#N/A,#N/A
